100.csv,1000.csv,1500.csv,200.csv,2000.csv,2500.csv,300.csv,3000.csv,400.csv,500.csv
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
1,1,1,1,1,1,1,1,1,1
0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
1,1,1,1,1,1,1,1,1,1
0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
1,1,1,1,1,1,1,1,1,1
0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0.8,0.6,1,0.6,0.6,1,0.6,1,0.8
1,1,0.8,1,0.8,0.8,1,0.8,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,0.8,0.6,1,0.6,0.6,1,0.6,1,0.8
1,1,0.8,1,0.8,0.8,1,0.8,1,1
0.9,1,1,0.9,1,1,1,1,1,1
0.9,1,1,0.9,1,1,0.9,1,0.9,1
1,1,0.9,1,0.9,0.9,1,0.9,1,1
0.9,1,1,0.9,1,1,0.9,1,1,1
1,1,1,1,1,0.9,1,0.9,1,1
0.9,1,1,0.9,1,1,0.9,1,1,1
1,1,0.9,1,0.9,0.9,1,0.9,1,1
0.8,1,1,0.9,1,1,0.9,1,1,1
1,1,1,1,1,1,1,0.9,1,1
0.8,1,1,0.9,1,1,0.9,1,0.9,1
0.7,0.7,0.8,0.7,0.8,0.8,0.7,0.8,0.7,0.7
0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.8,0.7,0.7
0.7,0.9,0.9,0.7,0.9,0.9,0.7,0.9,0.7,0.7
0.7,0.8,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.8
0.7,0.6,0.5,0.7,0.5,0.5,0.7,0.5,0.6,0.6
0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.7,0.7
0.7,0.8,0.9,0.7,0.9,0.9,0.7,0.9,0.7,0.7
0.7,0.8,0.8,0.7,0.8,0.8,0.8,0.9,0.8,0.8
0.7,0.6,0.7,0.7,0.6,0.5,0.7,0.5,0.6,0.6
0.7,0.8,0.7,0.7,0.7,0.8,0.7,0.8,0.7,0.7
