Java,lo_norm
0,0.6
0,0.7
0,0.5
0,0.6
0,0.5
0,0.6
0,0.5
0,0.6
0,0.5
0,0.6
0.384615385,0.384615385
0.115384615,0.115384615
0.192307692,0.307692308
0.038461538,0.230769231
0.038461538,0.076923077
0.192307692,0.384615385
0.346153846,0.269230769
0.230769231,0.153846154
0.153846154,0.153846154
0.307692308,0.384615385
0.192307692,0.192307692
0.192307692,0.269230769
0.230769231,0.153846154
0.346153846,0.269230769
0.230769231,0.153846154
0.346153846,0.384615385
0.230769231,0.153846154
0.230769231,0.153846154
0.346153846,0.269230769
0.192307692,0.269230769
0.192307692,0.153846154
0.307692308,0.384615385
0.230769231,0.153846154
0.346153846,0.269230769
0.230769231,0.153846154
0.346153846,0.384615385
0.25,0.125
0.3125,0.3125
0.21875,0.09375
0.21875,0.3125
0.125,0.15625
0.09375,0.3125
0.3125,0.28125
0.0625,0.15625
0.1875,0.15625
0.3125,0.125
0.1875,0.15625
0.1875,0.3125
0.1875,0.1875
0.3125,0.3125
0.21875,0.15625
0.21875,0.3125
0.3125,0.125
0.1875,0.125
0.3125,0.3125
0.1875,0.1875
0.15625,0.15625
0.15625,0.3125
0.3125,0.125
0.1875,0.125
0.21875,0.125
0.21875,0.3125
0.3125,0.3125
0.21875,0.1875
0.3125,0.125
0.1875,0.125
0.3125,0.3125
0.1875,0.1875
0.1875,0.1875
0.25,0.1875
0.125,0.09375
0.125,0.09375
0.09375,0.0625
0.03125,0.0625
0.03125,0.1875
0.0625,0.1875
0.125,0.125
0.25,0.125
0.0625,0.0625
0.125,0.09375
0.1875,0.1875
0.1875,0.1875
0.0625,0.0625
0.15625,0.125
0.125,0.125
0.25,0.125
0.1875,0.1875
0.1875,0.1875
0.125,0.09375
0.0625,0.0625
0.125,0.125
0.25,0.125
0.15625,0.125
0.0625,0.0625
0.1875,0.1875
0.1875,0.1875
0.125,0.125
0.25,0.125
0.1875,0.1875
0.1875,0.1875
0.153846154,0.384615385
0.384615385,0.384615385
0.115384615,0.076923077
0.038461538,0.076923077
0.038461538,0.384615385
0.153846154,0.346153846
0.153846154,0.384615385
0.384615385,0.269230769
0.153846154,0.153846154
0.153846154,0.384615385
0.346153846,0.384615385
0.153846154,0.153846154
0.153846154,0.153846154
0.153846154,0.384615385
0.076923077,0.153846154
0.153846154,0.384615385
0.153846154,0.153846154
0.153846154,0.384615385
0.384615385,0.269230769
0.153846154,0.153846154
0.153846154,0.384615385
0.346153846,0.384615385
0.153846154,0.153846154
0.153846154,0.384615385
0.076923077,0.153846154
0.153846154,0.384615385
0.151515152,0.242424242
0.181818182,0.242424242
0.151515152,0.181818182
0.151515152,0.272727273
0.03030303,0.181818182
0.060606061,0.212121212
0.03030303,0.212121212
0.03030303,0.181818182
0.121212121,0.242424242
0.090909091,0.242424242
0.151515152,0.151515152
0.121212121,0.151515152
0.151515152,0.212121212
0.151515152,0.181818182
0.181818182,0.181818182
0.181818182,0.151515152
0.151515152,0.242424242
0.060606061,0.151515152
0.151515152,0.212121212
0.060606061,0.181818182
0.181818182,0.242424242
0.151515152,0.151515152
0.151515152,0.212121212
0.090909091,0.242424242
0.121212121,0.151515152
0.181818182,0.181818182
0.121212121,0.242424242
0.151515152,0.181818182
0.151515152,0.151515152
0.060606061,0.151515152
0.151515152,0.212121212
0.060606061,0.181818182
0.181818182,0.242424242
0,0.3
0,0.5
0,0.5
0,0.25
0,0.2
0,0.5
0,0.2
0,0.5
0,0.5
0,0.2
0,0.5
0,0.2
0,0.5
0,0.2
0,0.5
0,0.2
0,0.5
0,0.2
0,0.5
0,0.2
0,0.12
0,0.2
0,0.18
0,0.2
0,0.12
0,0.2
0,0.2
0,0.2
0,0.12
0,0.2
0,0.12
0,0.16
0,0.2
0,0.18
0,0.12
0,0.2
0,0.2
0,0.2
0,0.2
0,0.2
0,0.2
0,0.16
0,0.2
0,0.2
0,0.2
0,0.2
0,0.2
0,0.2
0,0.2
0,0.2
0,0.2
0,0.2
0,0.2
0,0.12
0,0.2
0,0.2
0,0.2
0,0.2
0,0.2
0,0.2
0,0.12
0,0.2
0,0.2
0,0.2
0,0.2
0,0.2
0,0.2
0,0.2
0,0.2
0,0.2
0.3125,0.5
0.625,0.625
0.0625,0.625
0.3125,0.5
0.5625,0.5
0.3125,0.5
0.25,0.375
0.25,0.625
0.4375,0.5
0.25,0.625
0.4375,0.5
0.5625,0.5
0.25,0.625
0.25,0.375
0.4375,0.5
0.25,0.625
0.102040816,0.163265306
0.102040816,0.204081633
0.102040816,0.163265306
0.12244898,0.204081633
0.081632653,0.163265306
0.102040816,0.142857143
0.020408163,0.204081633
0.040816327,0.204081633
0.040816327,0.204081633
0.081632653,0.204081633
0.020408163,0.12244898
0.163265306,0.183673469
0.12244898,0.12244898
0.081632653,0.204081633
0.081632653,0.204081633
0.081632653,0.204081633
0.081632653,0.204081633
0.081632653,0.142857143
0.081632653,0.081632653
0.102040816,0.163265306
0.102040816,0.204081633
0.102040816,0.163265306
0.081632653,0.163265306
0.081632653,0.12244898
0.081632653,0.12244898
0.040816327,0.12244898
0.102040816,0.142857143
0.081632653,0.081632653
0.081632653,0.163265306
0.142857143,0.12244898
0.081632653,0.12244898
0.081632653,0.204081633
0.081632653,0.204081633
0.081632653,0.204081633
0.081632653,0.204081633
0.081632653,0.142857143
0.081632653,0.081632653
0.081632653,0.163265306
0.102040816,0.163265306
0.102040816,0.163265306
0.102040816,0.204081633
0.081632653,0.12244898
0.081632653,0.12244898
0.040816327,0.12244898
0.102040816,0.142857143
0.081632653,0.081632653
0.081632653,0.204081633
0.142857143,0.12244898
0.081632653,0.12244898
