File,TP,FP,TN,FN,hi_norm,TP,FP,TN,FN,lo_norm,TP,FP,TN,FN,hi_ngram,TP,FP,TN,FN,lo_ngram
guessword/0_orig/GuessWord.java,4,6,84,6,0.4,5,5,85,5,0.5,8,2,88,2,0.8,10,0,90,0,1
guessword/1_artifice/GuessWord.java,4,6,84,6,0.4,5,5,85,5,0.5,6,4,86,4,0.6,8,2,88,2,0.8
guessword/test_0_orig_no_krakatau/GuessWord.java,1,9,81,9,0.1,1,9,81,9,0.1,4,6,84,6,0.4,7,3,87,3,0.7
guessword/test_0_orig_no_procyon/GuessWord.java,2,8,82,8,0.2,5,5,85,5,0.5,10,0,90,0,1,10,0,90,0,1
guessword/test_0_orig_pg_krakatau/GuessWord.java,1,9,81,9,0.1,1,9,81,9,0.1,7,3,87,3,0.7,6,4,86,4,0.6
guessword/test_0_orig_pg_procyon/GuessWord.java,2,8,82,8,0.2,5,5,85,5,0.5,10,0,90,0,1,10,0,90,0,1
guessword/test_1_artifice_no_krakatau/GuessWord.java,1,9,81,9,0.1,1,9,81,9,0.1,5,5,85,5,0.5,7,3,87,3,0.7
guessword/test_1_artifice_no_procyon/GuessWord.java,2,8,82,8,0.2,5,5,85,5,0.5,10,0,90,0,1,10,0,90,0,1
guessword/test_1_artifice_pg_krakatau/GuessWord.java,1,9,81,9,0.1,1,9,81,9,0.1,6,4,86,4,0.6,6,4,86,4,0.6
guessword/test_1_artifice_pg_procyon/GuessWord.java,2,8,82,8,0.2,5,5,85,5,0.5,10,0,90,0,1,10,0,90,0,1
hanoi/0_orig/Main.java,4,6,84,6,0.4,10,0,90,0,1,10,0,90,0,1,10,0,90,0,1
hanoi/1_artifice/Main.java,4,6,84,6,0.4,6,4,86,4,0.6,10,0,90,0,1,10,0,90,0,1
hanoi/test_0_orig_no_krakatau/Main.java,4,6,84,6,0.4,5,5,85,5,0.5,6,4,86,4,0.6,6,4,86,4,0.6
hanoi/test_0_orig_no_procyon/Main.java,4,6,84,6,0.4,8,2,88,2,0.8,10,0,90,0,1,10,0,90,0,1
hanoi/test_0_orig_pg_krakatau/Main.java,4,6,84,6,0.4,6,4,86,4,0.6,6,4,86,4,0.6,6,4,86,4,0.6
hanoi/test_0_orig_pg_procyon/Main.java,4,6,84,6,0.4,8,2,88,2,0.8,10,0,90,0,1,10,0,90,0,1
hanoi/test_1_artifice_no_krakatau/Main.java,4,6,84,6,0.4,4,6,84,6,0.4,6,4,86,4,0.6,5,5,85,5,0.5
hanoi/test_1_artifice_no_procyon/Main.java,4,6,84,6,0.4,8,2,88,2,0.8,10,0,90,0,1,10,0,90,0,1
hanoi/test_1_artifice_pg_krakatau/Main.java,4,6,84,6,0.4,6,4,86,4,0.6,6,4,86,4,0.6,6,4,86,4,0.6
hanoi/test_1_artifice_pg_procyon/Main.java,4,6,84,6,0.4,8,2,88,2,0.8,10,0,90,0,1,10,0,90,0,1
InfixConverter/0_orig/InfixConverter.java,6,4,86,4,0.6,7,3,87,3,0.7,6,4,86,4,0.6,6,4,86,4,0.6
InfixConverter/1_artifice/InfixConverter.java,6,4,86,4,0.6,6,4,86,4,0.6,6,4,86,4,0.6,6,4,86,4,0.6
InfixConverter/test_0_orig_no_krakatau/InfixConverter.java,2,8,82,8,0.2,4,6,84,6,0.4,4,6,84,6,0.4,4,6,84,6,0.4
InfixConverter/test_0_orig_no_procyon/InfixConverter.java,6,4,86,4,0.6,6,4,86,4,0.6,6,4,86,4,0.6,6,4,86,4,0.6
InfixConverter/test_0_orig_pg_krakatau/InfixConverter.java,2,8,82,8,0.2,4,6,84,6,0.4,4,6,84,6,0.4,4,6,84,6,0.4
InfixConverter/test_0_orig_pg_procyon/InfixConverter.java,6,4,86,4,0.6,6,4,86,4,0.6,6,4,86,4,0.6,6,4,86,4,0.6
InfixConverter/test_1_artifice_no_krakatau/InfixConverter.java,2,8,82,8,0.2,4,6,84,6,0.4,4,6,84,6,0.4,4,6,84,6,0.4
InfixConverter/test_1_artifice_no_procyon/InfixConverter.java,6,4,86,4,0.6,6,4,86,4,0.6,6,4,86,4,0.6,6,4,86,4,0.6
InfixConverter/test_1_artifice_pg_krakatau/InfixConverter.java,2,8,82,8,0.2,4,6,84,6,0.4,4,6,84,6,0.4,4,6,84,6,0.4
InfixConverter/test_1_artifice_pg_procyon/InfixConverter.java,6,4,86,4,0.6,6,4,86,4,0.6,6,4,86,4,0.6,6,4,86,4,0.6
intersection/0_orig/Intersection.java,1,9,81,9,0.1,2,8,82,8,0.2,5,5,85,5,0.5,5,5,85,5,0.5
intersection/1_artifice/Intersection.java,1,9,81,9,0.1,2,8,82,8,0.2,4,6,84,6,0.4,4,6,84,6,0.4
intersection/test_0_orig_no_krakatau/Intersection.java,3,7,83,7,0.3,4,6,84,6,0.4,4,6,84,6,0.4,4,6,84,6,0.4
intersection/test_0_orig_no_procyon/Intersection.java,1,9,81,9,0.1,2,8,82,8,0.2,5,5,85,5,0.5,5,5,85,5,0.5
intersection/test_0_orig_pg_krakatau/Intersection.java,4,6,84,6,0.4,4,6,84,6,0.4,4,6,84,6,0.4,4,6,84,6,0.4
intersection/test_0_orig_pg_procyon/Intersection.java,1,9,81,9,0.1,1,9,81,9,0.1,5,5,85,5,0.5,5,5,85,5,0.5
intersection/test_1_artifice_no_krakatau/Intersection.java,3,7,83,7,0.3,4,6,84,6,0.4,4,6,84,6,0.4,4,6,84,6,0.4
intersection/test_1_artifice_no_procyon/Intersection.java,1,9,81,9,0.1,1,9,81,9,0.1,5,5,85,5,0.5,5,5,85,5,0.5
intersection/test_1_artifice_pg_krakatau/Intersection.java,4,6,84,6,0.4,4,6,84,6,0.4,4,6,84,6,0.4,4,6,84,6,0.4
intersection/test_1_artifice_pg_procyon/Intersection.java,1,9,81,9,0.1,1,9,81,9,0.1,5,5,85,5,0.5,5,5,85,5,0.5
kaprekar/0_orig/Kaprekar_Transformation.java,5,5,85,5,0.5,9,1,89,1,0.9,10,0,90,0,1,10,0,90,0,1
kaprekar/1_artifice/Kaprekar_Transformation.java,5,5,85,5,0.5,9,1,89,1,0.9,10,0,90,0,1,10,0,90,0,1
kaprekar/test_0_orig_no_krakatau/Kaprekar_Transformation.java,5,5,85,5,0.5,6,4,86,4,0.6,10,0,90,0,1,10,0,90,0,1
kaprekar/test_0_orig_no_procyon/Kaprekar_Transformation.java,5,5,85,5,0.5,10,0,90,0,1,10,0,90,0,1,10,0,90,0,1
kaprekar/test_0_orig_pg_krakatau/Kaprekar_Transformation.java,5,5,85,5,0.5,6,4,86,4,0.6,10,0,90,0,1,10,0,90,0,1
kaprekar/test_0_orig_pg_procyon/Kaprekar_Transformation.java,5,5,85,5,0.5,9,1,89,1,0.9,10,0,90,0,1,10,0,90,0,1
kaprekar/test_1_artifice_no_krakatau/Kaprekar_Transformation.java,5,5,85,5,0.5,6,4,86,4,0.6,10,0,90,0,1,10,0,90,0,1
kaprekar/test_1_artifice_no_procyon/Kaprekar_Transformation.java,5,5,85,5,0.5,9,1,89,1,0.9,10,0,90,0,1,10,0,90,0,1
kaprekar/test_1_artifice_pg_krakatau/Kaprekar_Transformation.java,5,5,85,5,0.5,6,4,86,4,0.6,10,0,90,0,1,10,0,90,0,1
kaprekar/test_1_artifice_pg_procyon/Kaprekar_Transformation.java,5,5,85,5,0.5,9,1,89,1,0.9,10,0,90,0,1,10,0,90,0,1
